applicationId,municipality,time,timeToVerdict,filling-time
LP-092-2015-02697,092,81695,0,100
LP-092-2016-00938,092,65178,18037,19682
LP-186-2015-00747,186,59266,9305,28151
LP-092-2015-00788,092,12763,74054,67535
LP-092-2016-00937,092,65147,21984,21565
LP-092-2016-00381,092,974,19083,84616
LP-092-2016-00383,092,48746,14693,30381
LP-444-2016-00450,444,79490,77031,74048
LP-092-2016-04654,092,5677,0,9039
LP-092-2016-04653,092,11220,0,12768
LP-092-2015-00220,092,68350,11954,2486
LP-092-2016-00277,092,75079,10880,3125
LP-092-2015-02187,092,56203,304,12060
LP-092-2016-02610,092,79802,75513,9679
LP-837-2016-01477,837,6322,0,58537
LP-092-2015-00430,092,6638,82445,1580
LP-092-2014-00144,092,72929,85835,27614
LP-092-2016-02577,092,69904,56388,71684
LP-092-2015-00435,092,64672,56904,724
LP-092-2014-00142,092,64371,54771,85666
LP-092-2015-00229,092,53397,78279,76609
LP-092-2016-00492,092,9661,10505,2147
LP-092-2015-00493,092,5810,43846,51325
LP-092-2015-02911,092,46267,7674,37050
LP-106-2016-00696,106,76174,51642,78377
LP-444-2015-00150,444,71177,8858,77660
LP-837-2015-00073,837,2116,1418,78311
LP-092-2015-02965,092,55108,61733,84094
LP-444-2015-00523,444,80842,81390,5570
LP-092-2015-02743,092,79001,84833,62714
LP-092-2015-02961,092,3458,8944,60945
LP-092-2016-01150,092,67041,86386,328
LP-092-2016-00156,092,61694,49441,60022
LP-092-2016-00984,092,42557,0,24860
LP-092-2015-00494,092,9348,27246,4722
LP-186-2015-00011,186,3865,44735,57436
LP-092-2016-02806,092,13062,56571,57303
LP-092-2016-02777,092,4747,75478,71013
LP-092-2016-02338,092,72165,15805,10796
LP-092-2015-02825,092,37645,7227,6497
LP-092-2016-03357,092,72703,80165,81438
LP-092-2015-00995,092,18152,43159,49420
LP-092-2015-01439,092,80357,58259,67520
LP-444-2015-00024,444,15264,72856,68360
LP-092-2015-00251,092,84156,83009,83379
LP-092-2015-01242,092,4765,23092,6796
LP-444-2015-00737,444,75114,20424,13723
LP-092-2015-01245,092,52733,7494,24755
LP-092-2015-01247,092,80315,73146,67510
LP-092-2016-00793,092,8319,0,77949
LP-837-2016-00873,837,72995,82155,26621
LP-837-2016-01051,837,75348,0,8326
LP-092-2016-01336,092,16403,6831,9598
LP-106-2014-00267,106,71850,5841,211
LP-837-2016-00343,837,6532,82355,62418
LP-837-2016-00346,837,68653,54325,6741
LP-837-2016-00347,837,76099,9047,15695
LP-837-2015-00214,837,59871,10912,11023
LP-092-2015-00258,092,4270,25471,10413
LP-092-2015-02522,092,60579,86218,15929
LP-092-2015-01503,092,73060,10193,5592
LP-092-2015-01507,092,54622,70926,20996
LP-092-2016-01527,092,77129,7648,73554
LP-106-2016-00749,106,70238,68982,80574
LP-092-2015-01110,092,18943,61458,45091
LP-092-2015-00050,092,4822,1111,72764
LP-092-2015-00051,092,5567,78938,73961
LP-092-2015-00817,092,74008,76732,84838
LP-092-2016-01200,092,46442,59955,12134
LP-444-2016-00273,444,17795,80427,74932
LP-837-2016-00728,837,49606,751,8580
LP-092-2016-01208,092,66627,45043,78238
LP-092-2016-01971,092,58193,13626,34665
LP-092-2016-03754,092,50065,0,27253
LP-106-2016-00264,106,17366,54696,58701
LP-837-2016-01658,837,73137,0,16988
LP-106-2015-00145,106,79985,74097,6894
LP-837-2016-00450,837,14460,84367,76802
LP-444-2015-00825,444,53738,84948,27849
LP-106-2016-00861,106,77762,0,71746
LP-092-2015-01753,092,4500,76193,79624
LP-106-2016-00864,106,21890,0,83969
LP-837-2016-00974,837,7748,70172,46288
LP-092-2016-00972,092,74168,14919,3713
LP-444-2015-00002,444,81498,80608,75581
LP-106-2016-00196,106,10376,58139,57525
LP-092-2015-02335,092,38222,36165,12779
LP-092-2015-02741,092,9530,85374,66525
LP-092-2016-00331,092,77998,16589,18623
LP-092-2016-02652,092,50852,64171,74409
LP-186-2015-00675,186,46690,57636,20120
LP-106-2015-00721,106,66068,68425,8514
LP-186-2016-00782,186,56426,80705,833
LP-092-2015-02231,092,84085,66455,65180
LP-837-2016-00157,837,80342,8223,14660
LP-092-2016-00252,092,19268,83287,67613
LP-092-2015-00475,092,49392,1689,44052
LP-106-2015-01281,106,73803,79675,71737
LP-106-2015-00093,106,78933,68573,2773
LP-186-2015-01370,186,7263,69606,56935
LP-106-2015-00965,106,6488,83269,64945
LP-106-2016-00638,106,2362,68604,62174
LP-106-2015-00360,106,74119,35391,17640
LP-092-2015-00584,092,54626,70953,5793
LP-837-2015-00038,837,76365,24761,16753
LP-092-2015-00589,092,55159,42855,73025
LP-444-2015-00858,444,67153,8787,18152
LP-186-2016-00148,186,75826,75,1386
LP-092-2016-01119,092,77639,0,8915
LP-092-2015-02701,092,67067,11026,4955
LP-186-2015-00474,186,80263,86140,83299
LP-092-2016-01110,092,77599,0,13627
LP-837-2016-01545,837,72010,0,74455
LP-106-2016-00993,106,78925,0,73119
LP-092-2015-00402,092,44626,9498,36977
LP-092-2015-00409,092,8214,60522,75077
LP-092-2015-00567,092,59207,83311,81883
LP-092-2016-00566,092,52714,58234,3949
LP-092-2016-00600,092,74889,21631,17083
LP-092-2015-01277,092,41284,56023,80201
LP-106-2015-00840,106,77179,81287,15124
LP-837-2015-00145,837,65746,5432,10387
LP-092-2015-02776,092,72743,41347,56723
LP-092-2015-02670,092,9465,14889,76528
LP-092-2016-00056,092,78403,7486,83225
LP-092-2015-01651,092,69372,0,7145
LP-837-2016-00933,837,83820,69257,67543
LP-092-2016-01744,092,1382,26615,82974
LP-092-2016-02780,092,71293,63030,62285
LP-092-2016-02787,092,85810,0,32747
LP-186-2015-00604,186,64319,71930,84340
LP-092-2016-02936,092,69095,0,10460
LP-186-2016-00354,186,75510,3477,754
LP-092-2016-01831,092,77637,0,15493
LP-092-2016-03306,092,69808,0,4430
LP-106-2015-00101,106,18133,4071,40122
LP-092-2015-01384,092,70923,70201,75172
LP-444-2015-00011,444,72412,82823,15029
LP-092-2016-03453,092,59757,0,21910
LP-092-2015-00851,092,15390,51857,40204
LP-837-2016-01000,837,6792,20845,8461
LP-186-2015-00253,186,21768,54302,45017
LP-837-2016-00275,837,85564,63521,49340
LP-106-2016-00222,106,1787,137,22019
LP-092-2015-02458,092,35978,1489,53373
LP-092-2015-01498,092,55010,49913,75555
LP-092-2016-00221,092,55757,6852,6414
LP-186-2015-00507,186,77460,7475,61220
LP-092-2016-01413,092,79227,79262,4880
LP-186-2015-01110,186,82779,84536,10787
LP-092-2015-01122,092,65309,85262,8467
LP-092-2016-01695,092,33765,75781,12107
LP-092-2015-00702,092,75698,14705,8824
LP-092-2015-01797,092,50413,4249,39266
LP-092-2015-00704,092,55810,327,19466
LP-092-2015-01155,092,5022,4461,2654
LP-444-2016-00128,444,47494,56656,536
LP-092-2015-00012,092,77735,77692,68656
LP-092-2015-01153,092,41845,10479,45219
LP-106-2016-00705,106,84858,0,71338
LP-106-2015-00424,106,1898,73072,71130
LP-444-2016-00042,444,80866,64165,78035
LP-837-2016-01729,837,84120,0,40658
LP-106-2015-00030,106,3026,15422,14131
LP-106-2015-00036,106,10103,7246,76382
LP-186-2015-00499,186,35179,65247,11441
LP-092-2015-00896,092,9500,62316,44016
LP-092-2015-01725,092,12313,20456,85337
LP-186-2015-00001,186,82388,81717,79517
LP-092-2015-01836,092,70598,14081,22475
LP-092-2016-03846,092,67400,13644,21324
LP-092-2015-02862,092,10199,77920,82783
LP-092-2015-00200,092,61503,32376,33036
LP-092-2015-02865,092,66284,78442,2081
LP-092-2015-00209,092,85041,7834,26
LP-186-2015-00497,186,75913,76057,3383
LP-092-2015-01844,092,69761,6480,15173
LP-106-2016-00003,106,79108,82658,16880
LP-444-2016-00344,444,58927,0,12949
LP-837-2016-01394,837,3991,0,21314
LP-092-2016-00306,092,75637,50076,53732
LP-092-2016-00302,092,61240,85304,4434
LP-092-2016-03734,092,65960,0,65669
LP-092-2016-00466,092,1668,16888,3427
LP-837-2016-01466,837,78515,0,73466
LP-186-2016-00067,186,54739,73884,16003
LP-092-2015-00565,092,63781,64403,77064
LP-092-2014-00158,092,2076,85250,68885
LP-092-2014-00150,092,71329,68859,85645
LP-092-2016-00529,092,82884,69449,70419
LP-444-2015-00233,444,66478,74559,4041
LP-444-2015-00232,444,81910,74243,5165
LP-444-2015-00623,444,855,1266,1922
LP-092-2016-00419,092,1520,27605,2456
LP-092-2016-01028,092,86117,83225,82440
LP-106-2015-00559,106,11103,74078,45181
LP-106-2016-00676,106,44754,0,83602
LP-106-2015-00922,106,821,67272,5138
LP-444-2015-00532,444,4665,5678,82878
LP-444-2015-00129,444,79719,75045,85585
LP-186-2015-01339,186,72222,81652,84183
LP-092-2015-00169,092,80478,74858,49885
LP-106-2015-01089,106,77539,74970,1646
LP-092-2016-01021,092,76762,22072,8922
LP-092-2016-01117,092,77631,0,10698
LP-092-2016-00996,092,49538,68194,30044
LP-092-2015-02722,092,62199,4745,14131
LP-092-2016-00634,092,3018,85302,16740
LP-092-2016-00644,092,73930,5203,62458
LP-092-2015-02647,092,40602,45762,7827
LP-092-2015-02646,092,12594,65489,52170
LP-092-2015-01064,092,18734,16612,70563
LP-837-2016-01327,837,84323,83187,71333
LP-092-2015-02124,092,23054,73071,55751
LP-092-2015-01332,092,31184,42527,2371
LP-092-2016-02384,092,45975,50459,11296
LP-837-2016-00334,837,72280,31554,18092
LP-837-2016-00849,837,18530,4202,69839
LP-092-2016-01284,092,77578,0,27022
LP-092-2016-01328,092,60007,57873,74851
LP-837-2016-01049,837,84252,0,15874
LP-106-2015-00072,106,80822,70602,11538
LP-106-2015-00073,106,12130,84798,71141
LP-186-2016-00416,186,3615,79865,77949
LP-106-2015-00079,106,84783,41849,5922
LP-092-2015-00186,092,62255,18407,13928
LP-092-2015-01163,092,68344,62807,72145
LP-092-2015-01588,092,10596,71940,56859
LP-092-2015-00206,092,28638,85799,58303
LP-092-2015-01428,092,49039,6190,31708
LP-837-2016-01135,837,64051,63186,63581
LP-186-2016-00537,186,66860,12582,26658
LP-444-2016-00167,444,67073,80679,1557
LP-092-2015-01192,092,3248,68796,79480
LP-106-2016-00219,106,3954,64728,64567
LP-092-2016-01800,092,77607,0,2441
LP-092-2016-01803,092,77636,0,668
LP-106-2015-00285,106,75284,67372,1448
LP-092-2015-00248,092,48588,68596,4657
LP-837-2016-01422,837,46039,0,80957
LP-092-2015-01568,092,75062,2027,17669
LP-837-2016-00746,837,5671,547,83763
LP-092-2016-00869,092,34145,1792,29539
LP-444-2016-00549,444,52856,46551,11042
LP-092-2016-04196,092,57250,0,27095
LP-106-2016-00754,106,65552,4453,19974
LP-092-2016-03936,092,76363,0,84388
LP-106-2015-00470,106,8564,20460,86126
LP-092-2016-00224,092,73172,1800,6504
LP-106-2015-00772,106,79774,49715,63303
LP-092-2015-02011,092,1914,76007,68588
LP-837-2016-01398,837,2215,0,676
LP-186-2016-00653,186,84969,68171,63202
LP-092-2015-00640,092,66340,60984,2047
LP-092-2015-00566,092,55828,82159,85416
LP-092-2016-02702,092,66064,0,7825
LP-092-2015-00564,092,65582,465,82090
LP-837-2016-01397,837,64297,0,23546
LP-837-2016-00144,837,80535,82051,2266
LP-837-2016-00060,837,5103,2399,80895
LP-092-2014-00190,092,83842,1464,66790
LP-837-2016-00068,837,11465,80746,3578
LP-092-2014-00195,092,80065,66948,74612
LP-092-2015-00243,092,69007,51528,71465
LP-092-2016-00297,092,64023,7729,11577
LP-092-2016-03806,092,32774,0,11756
LP-444-2016-00349,444,84024,67964,82437
LP-092-2015-00113,092,71609,2851,7580
LP-186-2015-00769,186,75595,55162,57706
LP-106-2015-00270,106,12358,72783,50140
LP-092-2016-01107,092,77580,0,15203
LP-837-2016-00735,837,19879,561,84610
LP-092-2016-00890,092,4934,77160,77553
LP-106-2015-01117,106,53204,12830,34247
