applicationId,municipality,time,filling-time
LP-536-2016-00032,536,62472,4528
LP-444-2015-00858,444,67153,18152
LP-092-2015-02701,092,67067,4955
LP-186-2015-00474,186,80263,83299
LP-858-2015-00176,858,50877,1616
LP-858-2015-00325,858,79106,19175
LP-858-2015-00426,858,42702,29668
LP-092-2015-00402,092,44626,36977
LP-092-2015-00409,092,8214,75077
LP-257-2015-00204,257,72702,22651
LP-092-2016-00566,092,52714,3949
LP-092-2016-00600,092,74889,17083
LP-092-2015-01277,092,41284,80201
LP-106-2015-00840,106,77179,15124
LP-837-2015-00145,837,65746,10387
LP-092-2015-02776,092,72743,56723
LP-092-2015-02670,092,9465,76528
LP-853-2015-00132,853,82607,3510
LP-208-2015-00591,208,190,84744
LP-186-2015-00604,186,64319,84340
LP-858-2015-00255,858,53105,20846
LP-753-2015-00178,753,10535,81286
LP-491-2015-00805,491,51950,2819
LP-186-2015-01194,186,74402,24393
LP-106-2015-00101,106,18133,40122
LP-092-2015-01384,092,70923,75172
LP-106-2015-00835,106,85390,5197
LP-753-2015-00177,753,86011,3327
LP-257-2015-00194,257,68537,13708
LP-444-2015-00011,444,72412,15029
LP-092-2015-00702,092,75698,8824
LP-245-2015-00003,245,7888,51001
LP-245-2015-00114,245,80962,68571
LP-491-2014-00552,491,38408,79854
LP-543-2015-00151,543,19727,2442
LP-543-2015-00154,543,44117,18873
LP-577-2016-00012,577,68394,14482
LP-491-2015-01003,491,10562,33783
LP-106-2016-00222,106,1787,22019
LP-245-2015-00096,245,55126,73650
LP-092-2015-02458,092,35978,53373
LP-858-2015-00177,858,50788,29249
LP-092-2015-01498,092,55010,75555
LP-092-2016-00221,092,55757,6414
LP-186-2015-00507,186,77460,61220
LP-092-2016-01413,092,79227,4880
LP-186-2015-01110,186,82779,10787
LP-092-2015-01122,092,65309,8467
LP-858-2015-00073,858,80546,66092
LP-224-2016-00002,224,46531,77196
LP-092-2015-01797,092,50413,39266
LP-092-2015-00704,092,55810,19466
LP-092-2015-01155,092,5022,2654
LP-092-2015-00012,092,77735,68656
LP-092-2015-01153,092,41845,45219
LP-208-2015-00230,208,55171,78777
LP-208-2015-00236,208,76574,3329
LP-106-2015-00424,106,1898,71130
LP-491-2015-00244,491,67388,4786
LP-444-2016-00042,444,80866,78035
LP-106-2015-00030,106,3026,14131
LP-536-2015-00076,536,132,67344
LP-106-2015-00036,106,10103,76382
LP-536-2015-00072,536,1625,82028
LP-092-2015-02861,092,52142,18464
LP-092-2015-01725,092,12313,85337
LP-638-2016-00036,638,85984,57460
LP-186-2015-00001,186,82388,79517
LP-257-2016-00008,257,73619,81815
LP-638-2015-00074,638,75458,5033
LP-092-2015-01836,092,70598,22475
LP-092-2015-00206,092,28638,58303
LP-092-2015-02862,092,10199,82783
LP-092-2015-00200,092,61503,33036
LP-908-2015-00148,908,73475,1692
LP-092-2015-02865,092,66284,2081
LP-092-2014-00169,092,79075,68989
LP-092-2015-00209,092,85041,26
LP-186-2015-00497,186,75913,3383
LP-106-2016-00003,106,79108,16880
LP-257-2016-00027,257,79097,2645
LP-092-2016-00306,092,75637,53732
LP-536-2015-00107,536,3444,48053
LP-536-2015-00106,536,68020,907
LP-092-2016-00466,092,1668,3427
LP-092-2015-00564,092,65582,82090
LP-186-2015-00622,186,13113,1722
LP-092-2015-00565,092,63781,77064
LP-092-2014-00158,092,2076,68885
LP-078-2016-00003,078,16199,75205
LP-092-2014-00150,092,71329,85645
LP-092-2016-00529,092,82884,70419
LP-444-2015-00233,444,66478,4041
LP-444-2015-00232,444,81910,5165
LP-444-2015-00623,444,855,1922
LP-092-2016-00419,092,1520,2456
LP-153-2015-00105,153,1420,2267
LP-106-2015-00559,106,11103,45181
LP-106-2015-00922,106,821,5138
LP-536-2016-00040,536,70461,84431
LP-444-2015-00532,444,4665,82878
LP-536-2015-00071,536,1640,68942
LP-092-2016-01200,092,46442,12134
LP-444-2015-00129,444,79719,85585
LP-186-2015-01339,186,72222,84183
LP-858-2015-00353,858,3111,81895
LP-186-2015-01302,186,69194,75337
LP-106-2015-01089,106,77539,1646
LP-092-2016-01021,092,76762,8922
LP-092-2015-01006,092,59549,82465
LP-092-2015-02722,092,62199,14131
LP-543-2016-00030,543,17601,59432
LP-092-2016-00634,092,3018,16740
LP-092-2016-00644,092,73930,62458
LP-245-2015-00281,245,48335,728
LP-092-2015-02647,092,40602,7827
LP-092-2015-02646,092,12594,52170
LP-092-2015-01064,092,18734,70563
LP-092-2015-01992,092,84821,61310
LP-092-2016-00648,092,75009,81019
LP-092-2016-00302,092,61240,4434
LP-092-2015-01332,092,31184,2371
LP-732-2016-00037,732,61943,23172
LP-106-2015-00072,106,80822,11538
LP-106-2015-00073,106,12130,71141
LP-257-2015-00165,257,15233,1448
LP-257-2015-00164,257,52346,11834
LP-106-2015-00079,106,84783,5922
LP-092-2015-00186,092,62255,13928
LP-245-2015-00055,245,73899,80249
LP-858-2015-00133,858,20983,81580
LP-092-2015-01163,092,68344,72145
LP-208-2015-00483,208,24551,84840
LP-092-2015-01428,092,49039,31708
LP-753-2014-00148,753,2240,70713
LP-444-2016-00167,444,67073,1557
LP-092-2015-01192,092,3248,79480
LP-208-2015-00010,208,12840,2873
LP-491-2015-00830,491,78979,15399
LP-106-2016-00219,106,3954,64567
LP-106-2015-00285,106,75284,1448
LP-858-2015-00135,858,65188,1082
LP-858-2015-00008,858,68326,34240
LP-092-2015-01568,092,75062,17669
LP-092-2015-00589,092,55159,73025
LP-858-2015-00002,858,76927,6357
LP-858-2015-00001,858,7208,13265
LP-638-2014-00055,638,3971,64189
LP-908-2015-00102,908,85612,80668
LP-257-2016-00073,257,9661,65253
LP-106-2015-00470,106,8564,86126
LP-536-2015-00020,536,84542,6323
LP-753-2015-00010,753,47634,48108
LP-753-2015-00011,753,67996,85432
LP-753-2015-00013,753,84274,11887
LP-092-2015-02011,092,1914,68588
LP-092-2015-00640,092,66340,2047
LP-092-2015-00566,092,55828,85416
LP-092-2015-00567,092,59207,81883
LP-755-2015-00069,755,9125,12509
LP-837-2016-00141,837,64061,11447
LP-837-2016-00144,837,80535,2266
LP-638-2016-00001,638,56711,85574
LP-908-2015-00070,908,37342,13703
LP-491-2015-01264,491,5630,56496
LP-837-2016-00060,837,5103,80895
LP-245-2016-00019,245,61500,2740
LP-092-2014-00190,092,83842,66790
LP-837-2016-00068,837,11465,3578
LP-092-2014-00195,092,80065,74612
LP-092-2015-00243,092,69007,71465
LP-753-2015-00060,753,72124,13568
LP-491-2015-00307,491,54801,8016
LP-092-2015-00248,092,48588,4657
LP-208-2015-00199,208,81786,55903
LP-092-2015-00113,092,71609,7580
LP-186-2015-00769,186,75595,57706
LP-858-2015-00097,858,66445,83087
LP-106-2015-01117,106,53204,34247
