applicationId,municipality,timeToVerdict,filling-time,operation,start_month,1,2,3,4,5,6,7,8,9,10,11,12
LP-186-2015-01140,186,14.4300127203,6.62007320653,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-186-2014-00156,186,13.7797724933,15.8668547914,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-00035,092,15.0202809441,7.20414929204,maalampo,1,1,0,0,0,0,0,0,0,0,0,0,0
LP-186-2014-00251,186,14.5634621617,7.53849499941,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-091-2016-04127,091,14.1183972028,7.17088847851,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2015-10226,091,13.7215382828,6.90073066405,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-091-2015-06188,091,14.4763344235,6.67076632085,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-091-2015-06226,091,14.570108372,7.01481435128,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-106-2015-00405,106,13.1248462924,11.3271499501,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-092-2016-04243,092,13.2224041684,8.35042997354,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-837-2016-01529,837,14.9669954599,7.09672137849,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-091-2015-10003,091,13.4931059072,8.34021732095,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-092-2016-00843,092,13.2382601908,12.9654007477,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-092-2016-00961,092,13.0741747323,11.1585763855,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-186-2015-00987,186,14.1753072243,7.32514895796,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-092-2015-00261,092,13.2328648556,6.66949808986,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2015-00724,092,14.6126848155,7.46622755622,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-837-2016-01411,837,15.285745022,10.1947008828,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-837-2016-00992,837,14.4766984374,9.02689818751,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2016-02447,092,13.0699157328,13.1701511346,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-02397,092,12.5586045188,9.87158400352,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-092-2014-00176,092,12.2778582803,6.67329796777,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-092-2015-00464,092,15.594397531,13.1826961919,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-091-2015-00273,091,13.5005244327,11.5841385367,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
