applicationId,municipality,filling-time,operation,start_month,time-to-verdict,attachment-count
LP-092-2015-02961,092,2480145.015,pientalo,12,5596236.106,54
LP-092-2016-01150,092,345928.046,pientalo,3,4190085.935,60
LP-186-2015-00730,186,5564060.303,pientalo,7,1307227.616,69
LP-092-2016-00156,092,4120822.134,pientalo,1,6431142.158,65
LP-092-2016-00151,092,11816149.6,pientalo,1,1785694.181,46
LP-092-2016-00152,092,966143.368,pientalo,1,6757236.309,46
LP-186-2015-00011,186,8092636.238,pientalo,1,13779860.962,36
LP-092-2016-02806,092,2476503.169,pientalo,5,6709299.779,39
LP-092-2016-02777,092,675813.986,pientalo,5,3410416.456,34
LP-092-2016-02338,092,2170796.331,pientalo,5,3410457.599,35
LP-092-2015-02825,092,6497.896,pientalo,12,4917642.56,37
LP-092-2016-03357,092,1550238.563,pientalo,6,5301449.5,36
LP-092-2015-00995,092,4974220.566,pientalo,6,4804537.097,72
LP-092-2015-01439,092,585920.087,pientalo,8,4197815.903,30
LP-092-2015-00251,092,21769779.348,pientalo,2,15343282.436,103
LP-092-2015-01242,092,611596.944,pientalo,7,10324244.748,69
LP-837-2016-00974,837,996688.304,pientalo,5,8358822.784,48
LP-092-2015-01245,092,1839155.739,pientalo,7,4253786.309,24
LP-092-2015-01247,092,413110.633,pientalo,7,7311265.758,65
LP-837-2016-00873,837,631421.62,pientalo,4,5119266.202,50
LP-092-2016-01336,092,182398.461,pientalo,3,5318763.886,62
LP-106-2014-00267,106,3801811.079,pientalo,12,6782184.586,54
LP-837-2016-00343,837,3950418.484,pientalo,2,4463119.176,47
LP-837-2016-00346,837,5536341.825,pientalo,2,5198960.904,24
LP-837-2016-00347,837,188495.781,pientalo,2,8060233.477,44
LP-837-2015-00214,837,8910223.569,pientalo,12,8587197.786,24
LP-186-2015-00253,186,2464217.369,pientalo,4,3337609.354,63
LP-092-2015-02522,092,1052729.748,pientalo,11,8062433.606,42
LP-092-2015-01503,092,2597592.456,pientalo,8,6431453.856,77
LP-092-2015-01507,092,971396.344,pientalo,8,12453811.675,67
LP-186-2015-00499,186,11441.484,pientalo,5,1911390.253,37
LP-106-2016-00749,106,426174.555,pientalo,6,1943146.989,50
LP-092-2015-01110,092,2637091.024,pientalo,6,9034342.323,50
LP-092-2015-00050,092,3010364.65,pientalo,1,2638106.779,47
LP-186-2015-00497,186,867383.91,pientalo,5,4604307.997,49
LP-092-2016-01200,092,184934.034,pientalo,3,2263434.381,45
LP-186-2014-00534,186,818.806,pientalo,12,137786.673,18
LP-092-2016-01208,092,5521438.617,pientalo,3,2961354.181,67
LP-092-2016-01971,092,3145065.038,pientalo,4,8910970.744,24
LP-092-2016-02384,092,356896.298,pientalo,5,5018754.29,49
LP-106-2016-00264,106,663501.212,pientalo,3,1952333.328,49
LP-491-2015-00929,491,3464509.501,pientalo,8,1910620.132,45
LP-491-2015-00922,491,24478395.989,pientalo,8,613070.96,64
LP-106-2015-00145,106,1994094.711,pientalo,4,4695954.755,67
LP-837-2016-00450,837,1891202.636,pientalo,3,5591822.494,27
LP-186-2016-00137,186,6725907.995,pientalo,2,1861618.635,45
LP-092-2015-01753,092,5522824.028,pientalo,9,8420751.576,57
LP-186-2015-00070,186,1308526.313,pientalo,2,2026762.313,48
LP-092-2015-00851,092,817804.873,pientalo,5,7146248.63,34
LP-092-2016-00972,092,3713.247,pientalo,3,11798405.985,41
LP-092-2015-00494,092,4722.775,pientalo,4,6018259.195,46
LP-092-2015-00757,092,241.547,pientalo,5,1569511.3,0
LP-491-2015-01351,491,1839667.275,pientalo,12,2345051.198,32
LP-106-2015-00700,106,2767215.477,pientalo,8,916053.807,81
LP-092-2015-02335,092,7529579.668,pientalo,11,5714999.009,49
LP-092-2016-00331,092,537023.192,pientalo,1,6786847.292,48
LP-092-2016-02652,092,1888809.344,pientalo,5,1749621.211,53
LP-186-2015-00675,186,12116120.646,pientalo,7,1216960.491,56
LP-106-2015-00721,106,8514.182,pientalo,8,5114760.56,65
LP-186-2016-00782,186,833.961,pientalo,6,5561680.918,35
LP-837-2016-00157,837,3902660.274,pientalo,1,9976893.207,63
LP-092-2016-00252,092,1277213.08,pientalo,1,7487769.045,53
