applicationId,filling-time,operation,time-to-verdict
LP-491-2015-00039,12784622.731,pientalo,2176506.092
LP-186-2015-01362,3610469.704,pientalo,1264684.872
LP-106-2015-00198,5591.342,pientalo,4350731.697
LP-491-2015-00737,180830.409,pientalo,4591002.343
LP-491-2015-00888,29568847.376,pientalo,2876167.136
LP-106-2015-00270,136540.954,pientalo,2035827.242
LP-106-2016-00696,2151977.546,pientalo,4259979.44
LP-106-2015-00578,254079.394,pientalo,5748735.65
LP-092-2016-00183,255335.25,pientalo,3338809.94
LP-092-2015-01847,2232402.23,pientalo,5319871.731
LP-092-2015-01844,1570373.269,pientalo,4441325.561
LP-186-2015-00747,8063351.966,pientalo,1492859.336
LP-106-2016-00447,2086590.733,pientalo,3236717.886
LP-092-2016-03399,1378944.595,pientalo,4199341.582
LP-092-2016-02362,182613.355,pientalo,2979586.651
LP-186-2015-00995,107269.235,pientalo,5733683.05
LP-092-2015-01365,2156595.368,pientalo,4972279.318
LP-491-2016-00657,2676.622,pientalo,2898373.038
LP-092-2015-01360,1989536.966,pientalo,21300963.291
LP-092-2015-02667,4940803.726,pientalo,3664960.853
LP-106-2015-01051,3031.928,pientalo,13790755.405
LP-106-2015-01056,2361.803,pientalo,2519148.381
LP-837-2016-00909,1190504.749,pientalo,9384669.171
LP-092-2016-01744,1206174.68,pientalo,4557442.832
LP-092-2015-00732,3083980.905,pientalo,5130759.666
LP-186-2015-00960,2874863.062,pientalo,4516473.25
LP-092-2016-01695,271307.794,pientalo,11241239.105
LP-092-2015-02861,3647264.925,pientalo,6509204.15
LP-186-2015-00369,581.19,pientalo,2813758.096
LP-092-2016-01827,5492.422,pientalo,5570552.381
LP-837-2016-00002,4564186.255,pientalo,8432561.296
LP-092-2015-00169,1086685.922,pientalo,4374550.432
LP-186-2015-00202,2525353.388,pientalo,2686310.912
LP-186-2015-00560,11105.817,pientalo,2360833.59
LP-092-2015-00165,251316.027,pientalo,5501164.309
LP-837-2016-00832,1136375.204,pientalo,9103999.674
LP-186-2016-00416,1114749.942,pientalo,1433693.852
LP-837-2016-00836,929916.856,pientalo,5297732.277
LP-092-2015-01443,78697.783,pientalo,9380668.047
LP-491-2016-00153,3051538.313,pientalo,1393935.526
LP-491-2016-00159,1201272.969,pientalo,1238464.039
LP-186-2016-00550,2070849.935,pientalo,2211243.788
LP-837-2016-01018,1123623.789,pientalo,8785627.914
LP-092-2015-02741,239325.823,pientalo,4282973.657
LP-491-2015-00812,244753.845,pientalo,3934384.569
LP-491-2016-00073,1904217.452,pientalo,2903682.4
LP-837-2016-00408,406289.802,pientalo,5821401.464
LP-837-2015-00093,681412.564,pientalo,7472703.801
LP-491-2016-00078,1678360.576,pientalo,620462.674
LP-092-2015-00093,980553.877,pientalo,9267357.996
LP-491-2016-00275,5974898.195,pientalo,1668035.36
LP-491-2016-00277,1718383.331,pientalo,1680895.071
LP-092-2016-00803,2310035.963,pientalo,5567758.029
LP-092-2015-00307,3141765.5,pientalo,5469431.293
LP-092-2016-01150,345928.046,pientalo,4190085.935
LP-186-2015-00195,4891787.026,pientalo,1176028.128
LP-491-2015-00889,22113712.737,pientalo,1258573.804
LP-106-2015-00875,870915.514,pientalo,2951410.901
LP-092-2015-01145,2382245.266,pientalo,7526438.152
LP-092-2015-00002,3284324.596,pientalo,4809010.545
LP-092-2015-01149,1197358.735,pientalo,9946565.533
LP-491-2015-00551,3668862.704,pientalo,704117.169
LP-491-2015-00884,25237121.26,pientalo,1161652.162
LP-491-2015-00885,18493546.542,pientalo,1855526.688
LP-491-2015-00887,26296447.443,pientalo,1915241.731
LP-092-2015-00391,92848.692,pientalo,7202447.97
LP-092-2016-00209,272248.956,pientalo,5745291.457
LP-092-2015-00392,1887697.229,pientalo,4974717.475
LP-106-2015-00021,53953.325,pientalo,6018527.191
LP-092-2016-02069,5578514.0,pientalo,5532652.042
LP-491-2015-00258,4041835.6,pientalo,1501188.554
LP-092-2016-00938,1920482.049,pientalo,5391641.679
LP-092-2015-00781,4684.753,pientalo,2906789.957
LP-186-2015-00742,8548101.312,pientalo,1423075.947
LP-092-2015-00788,3869135.206,pientalo,3597485.708
LP-092-2016-00937,1922365.004,pientalo,5391446.026
LP-092-2016-00381,4231816.364,pientalo,5670924.258
LP-106-2015-00005,2324704.018,pientalo,4556120.375
LP-092-2016-00383,2017581.283,pientalo,3907005.284
LP-491-2015-00676,642763.039,pientalo,1178949.882
LP-092-2016-00277,953525.396,pientalo,6598139.506
LP-491-2015-00771,4161874.693,pientalo,1742946.547
LP-092-2016-02610,614479.625,pientalo,3481602.67
LP-092-2016-00221,6414.741,pientalo,7721795.442
LP-092-2015-00430,5703980.046,pientalo,4801743.956
LP-092-2014-00144,3483614.781,pientalo,6595003.964
LP-092-2016-02577,1886084.734,pientalo,8504876.426
LP-092-2015-00435,3975124.824,pientalo,5389145.097
LP-092-2014-00142,604066.5,pientalo,7197862.581
LP-106-2016-00655,5223316.781,pientalo,3032669.479
LP-092-2016-00492,2147.218,pientalo,6790090.276
LP-092-2015-00493,51325.816,pientalo,6007860.445
LP-092-2015-02911,8849850.245,pientalo,5983073.851
LP-491-2016-00754,3429345.969,pientalo,1869704.815
LP-837-2015-00073,2151911.13,pientalo,7307333.25
LP-092-2015-00491,57652.531,pientalo,6091815.514
LP-092-2015-02965,775294.637,pientalo,3910443.822
LP-106-2015-01095,1384152.549,pientalo,2946038.79
LP-092-2015-02743,7493114.349,pientalo,3510587.794
LP-092-2015-02961,2480145.015,pientalo,5596236.106
LP-186-2015-01043,4836858.677,pientalo,4880710.62
LP-186-2015-00730,5564060.303,pientalo,1307227.616
LP-092-2016-00156,4120822.134,pientalo,6431142.158
LP-092-2016-00151,11816149.6,pientalo,1785694.181
LP-092-2016-00152,966143.368,pientalo,6757236.309
LP-186-2015-00011,8092636.238,pientalo,13779860.962
LP-092-2016-02806,2476503.169,pientalo,6709299.779
LP-092-2016-02777,675813.986,pientalo,3410416.456
LP-092-2016-02338,2170796.331,pientalo,3410457.599
LP-092-2015-02825,6497.896,pientalo,4917642.56
LP-092-2016-03357,1550238.563,pientalo,5301449.5
LP-092-2015-01679,2323251.179,pientalo,3661771.62
LP-092-2015-00995,4974220.566,pientalo,4804537.097
LP-092-2015-01439,585920.087,pientalo,4197815.903
LP-092-2015-00251,21769779.348,pientalo,15343282.436
LP-092-2015-01242,611596.944,pientalo,10324244.748
LP-837-2016-00974,996688.304,pientalo,8358822.784
LP-092-2015-01245,1839155.739,pientalo,4253786.309
LP-092-2015-01247,413110.633,pientalo,7311265.758
LP-837-2016-00873,631421.62,pientalo,5119266.202
LP-092-2016-01336,182398.461,pientalo,5318763.886
LP-106-2014-00267,3801811.079,pientalo,6782184.586
LP-837-2016-00343,3950418.484,pientalo,4463119.176
LP-092-2016-00648,1463419.067,pientalo,5402409.231
LP-837-2016-00346,5536341.825,pientalo,5198960.904
LP-837-2016-00347,188495.781,pientalo,8060233.477
LP-837-2015-00214,8910223.569,pientalo,8587197.786
LP-186-2015-00253,2464217.369,pientalo,3337609.354
LP-092-2015-02522,1052729.748,pientalo,8062433.606
LP-092-2015-01503,2597592.456,pientalo,6431453.856
LP-092-2015-01507,971396.344,pientalo,12453811.675
LP-186-2015-00499,11441.484,pientalo,1911390.253
LP-106-2016-00749,426174.555,pientalo,1943146.989
LP-092-2015-01110,2637091.024,pientalo,9034342.323
