applicationId,municipality,time,filling-time
LP-106-2016-00747,106,72558,1599
LP-092-2016-01529,092,86101,72812
LP-837-2016-01127,837,72066,7362
LP-092-2015-00817,092,74008,84838
LP-837-2016-01123,837,67718,1109
LP-092-2015-01021,092,8328,2200
LP-186-2016-00318,186,73147,333
LP-186-2016-00319,186,61875,59292
LP-444-2016-00177,444,83041,316
LP-106-2015-00149,106,4400,9021
LP-444-2016-00170,444,76133,2741
LP-444-2016-00173,444,10820,370
LP-444-2016-00172,444,11852,2158
LP-106-2016-00340,106,2854,6647
LP-444-2016-00178,444,81696,582
LP-186-2016-00316,186,19836,71226
LP-106-2015-00145,106,79985,6894
LP-837-2016-00450,837,14460,76802
LP-186-2016-00034,186,12951,74833
LP-837-2016-00452,837,80434,5523
LP-837-2016-00453,837,60360,83954
LP-092-2015-01753,092,4500,79624
LP-092-2015-00377,092,8609,1616
LP-092-2015-00851,092,15390,40204
LP-444-2016-00708,444,18783,1927
LP-444-2016-00709,444,83284,5347
LP-837-2016-01671,837,6767,5527
LP-444-2016-00001,444,49507,27361
LP-092-2015-00978,092,82151,46063
LP-444-2016-00002,444,76864,79775
LP-444-2016-00559,444,3480,65875
LP-444-2016-00558,444,76981,75491
LP-444-2016-00579,444,12848,54059
LP-444-2016-00391,444,75688,149
LP-092-2016-02654,092,9291,3614
LP-092-2016-02652,092,50852,74409
LP-092-2016-02737,092,84946,3440
LP-106-2015-00721,106,66068,8514
LP-837-2016-00982,837,10039,85568
LP-092-2016-00758,092,75171,21425
LP-186-2016-00782,186,56426,833
LP-092-2015-02813,092,55335,18339
LP-092-2015-00282,092,20326,2515
LP-837-2016-01877,837,59409,3479
LP-444-2016-00950,444,83930,1220
LP-106-2016-00631,106,8027,70289
LP-444-2016-00959,444,79532,946
LP-106-2015-00965,106,6488,64945
LP-106-2016-00638,106,2362,62174
LP-106-2015-00360,106,74119,17640
LP-837-2015-00038,837,76365,16753
LP-106-2016-00125,106,76838,1720
LP-106-2015-00365,106,72894,4832
LP-444-2014-00092,444,63501,21982
LP-106-2016-00128,106,7866,4568
LP-444-2014-00059,444,84344,2855
LP-186-2016-00148,186,75826,1386
LP-106-2015-00566,106,84853,84633
LP-837-2016-00479,837,529,514
LP-186-2016-00145,186,52963,1037
LP-837-2016-01908,837,69601,8124
LP-444-2016-00825,444,11856,77763
LP-092-2015-00402,092,44626,36977
LP-444-2016-00375,444,77763,4611
LP-444-2016-00820,444,694,74469
LP-092-2015-00409,092,8214,75077
LP-092-2016-02630,092,7247,8292
LP-444-2016-00829,444,77687,14583
LP-444-2016-00828,444,85645,11629
LP-186-2015-01109,186,8799,10332
LP-186-2015-00987,186,6159,1518
LP-186-2015-00984,186,63733,2591
LP-186-2015-00983,186,74090,5311
LP-837-2015-00140,837,56266,23293
LP-837-2015-00145,837,65746,10387
LP-837-2015-00144,837,73353,4869
LP-837-2015-00147,837,81556,73910
LP-186-2015-01079,186,17922,84047
LP-092-2016-00059,092,76415,3818
LP-186-2015-00859,186,84293,71041
LP-186-2015-00854,186,49156,1824
LP-186-2016-00496,186,58775,1590
LP-092-2016-02936,092,69095,10460
LP-837-2016-00475,837,86293,2387
LP-186-2016-00493,186,64498,4610
LP-186-2016-00491,186,64570,14111
LP-092-2016-03268,092,85488,10770
LP-092-2016-01831,092,77637,15493
LP-092-2016-03263,092,8890,8534
LP-186-2014-00179,186,84468,18816
LP-186-2015-00218,186,84933,10618
LP-186-2016-00766,186,62232,8950
LP-092-2015-00510,092,2331,72800
LP-186-2015-01294,186,62415,1618
LP-837-2016-01618,837,73476,16651
LP-186-2016-00569,186,62509,15487
LP-186-2016-00568,186,22089,70401
LP-092-2016-03065,092,19198,51130
LP-837-2016-01613,837,1217,72448
LP-106-2014-00021,106,57800,76417
LP-092-2015-02458,092,35978,53373
LP-186-2015-00500,186,53723,2897
LP-186-2015-00507,186,77460,61220
LP-106-2014-00022,106,76503,17133
LP-092-2015-02269,092,75427,12402
LP-186-2015-00184,186,78861,4325
LP-186-2014-00375,186,63743,1229
LP-186-2014-00371,186,922,4962
LP-092-2016-04141,092,76002,977
LP-186-2014-00373,186,68950,449
LP-837-2016-01729,837,84120,40658
LP-837-2016-01728,837,48470,354
LP-837-2016-01268,837,65285,1921
LP-186-2014-00395,186,3734,65004
LP-837-2016-01266,837,73773,85558
LP-092-2015-01836,092,70598,22475
LP-186-2014-00002,186,62837,4296
LP-092-2016-03846,092,67400,21324
LP-186-2014-00001,186,27003,74038
LP-186-2014-00006,186,3878,81587
LP-186-2014-00007,186,68479,82426
LP-186-2014-00004,186,3737,7100
LP-186-2014-00005,186,32822,84295
LP-837-2016-00054,837,47062,9727
LP-092-2016-00397,092,75249,17134
LP-186-2014-00008,186,68359,81605
LP-837-2015-00194,837,9114,75197
LP-837-2016-00053,837,80250,72749
LP-092-2015-02587,092,75630,8456
LP-092-2015-02583,092,71188,77405
LP-092-2015-02051,092,85394,10476
LP-444-2014-00077,444,68843,12301
LP-186-2015-00438,186,47394,10830
LP-092-2016-04724,092,13218,9020
LP-837-2016-01463,837,84228,76501
LP-092-2016-00466,092,1668,3427
LP-092-2015-00023,092,81155,6388
LP-837-2016-01466,837,78515,73466
LP-186-2015-00433,186,56394,1085
LP-837-2016-01464,837,47004,22197
LP-837-2016-01465,837,59532,1986
LP-092-2014-00017,092,21665,76548
LP-092-2014-00014,092,66833,3444
LP-092-2014-00013,092,70391,73127
LP-092-2014-00012,092,56375,51612
LP-092-2014-00010,092,77022,8475
LP-837-2015-00054,837,38085,11559
LP-186-2016-00816,186,6299,72036
LP-092-2016-00484,092,3167,80278
LP-092-2016-00488,092,64426,85626
LP-444-2015-00232,444,81910,5165
LP-444-2015-00589,444,73941,1298
LP-444-2015-00236,444,85656,25451
LP-444-2015-00125,444,47982,19810
LP-444-2015-00127,444,46879,41219
LP-444-2015-00126,444,80766,1984
LP-444-2015-00122,444,13527,75046
LP-837-2016-01596,837,77312,928
LP-837-2016-01594,837,57154,2471
LP-444-2015-00129,444,79719,85585
LP-837-2016-01590,837,86187,3024
LP-837-2016-01591,837,81246,7805
LP-092-2016-01028,092,86117,82440
LP-092-2015-01907,092,82305,73572
LP-092-2015-01906,092,82465,73634
LP-092-2016-01021,092,76762,8922
LP-092-2015-01904,092,82565,73994
LP-837-2016-00182,837,83230,68639
LP-186-2016-00966,186,56041,2134
LP-837-2016-00236,837,10349,64770
LP-837-2016-00230,837,2606,86177
LP-837-2016-00231,837,34229,28802
LP-837-2016-00233,837,64160,1419
LP-092-2015-00986,092,13276,72699
LP-837-2016-00238,837,81219,84191
LP-092-2015-00521,092,84698,82760
LP-092-2015-02831,092,53765,29479
LP-444-2015-00055,444,9719,86067
LP-837-2016-01501,837,74508,14693
LP-444-2015-00057,444,39891,1804
LP-092-2015-01342,092,2457,11208
LP-092-2016-00736,092,71535,81257
LP-837-2016-01282,837,66313,1028
LP-837-2016-01283,837,80661,467
LP-837-2016-01280,837,51034,35287
LP-837-2016-01281,837,72632,932
LP-837-2016-01287,837,76834,25624
LP-837-2016-01284,837,65111,9088
LP-837-2016-01285,837,57909,83821
LP-092-2016-01737,092,52393,5957
LP-092-2015-02122,092,72669,4905
LP-837-2016-01289,837,4924,82519
LP-092-2015-02124,092,23054,55751
LP-837-2016-01047,837,73970,11636
LP-837-2016-01041,837,81145,6813
LP-837-2016-01042,837,77749,24262
LP-837-2016-01043,837,77011,16710
LP-092-2016-01284,092,77578,27022
LP-837-2016-01049,837,84252,15874
LP-444-2016-00497,444,390,73810
LP-444-2016-00494,444,68055,6795
LP-444-2016-00492,444,74139,527
LP-837-2015-00208,837,65610,5604
LP-837-2016-01261,837,82631,9935
LP-092-2015-00186,092,62255,13928
LP-106-2016-00289,106,11309,1486
LP-106-2015-00657,106,16185,4533
LP-092-2015-01163,092,68344,72145
LP-092-2015-01443,092,77339,78697
LP-092-2016-01603,092,80893,927
LP-837-2016-01139,837,79452,1219
LP-092-2015-01589,092,13582,69878
LP-092-2015-01588,092,10596,56859
LP-092-2016-01355,092,14595,66514
LP-092-2016-01357,092,73477,7324
LP-837-2016-01130,837,63495,14933
LP-837-2016-01135,837,64051,63581
LP-444-2016-00089,444,61162,3010
LP-837-2016-01137,837,84136,2872
LP-837-2016-00528,837,69658,5263
LP-444-2016-00167,444,67073,1557
LP-444-2016-00160,444,1487,8096
LP-837-2016-00521,837,85613,1620
LP-837-2016-00522,837,5311,2831
LP-186-2016-00361,186,1406,7726
LP-837-2016-00526,837,3319,81494
LP-837-2016-00425,837,76475,5347
LP-837-2016-00424,837,78821,1915
LP-186-2016-00022,186,80392,80092
LP-837-2016-00423,837,73421,75878
LP-092-2015-01568,092,75062,17669
LP-837-2016-00429,837,11155,570
LP-444-2016-00349,444,84024,82437
LP-186-2016-00028,186,84084,1805
LP-186-2016-00029,186,74786,2846
LP-092-2016-00861,092,64493,9595
LP-092-2016-00862,092,64223,9017
LP-092-2016-00869,092,34145,29539
LP-837-2016-00056,837,13736,68111
LP-092-2015-00366,092,78606,27926
LP-444-2016-00549,444,52856,11042
LP-106-2016-00754,106,65552,19974
LP-092-2015-00743,092,47419,1756
LP-444-2016-00540,444,69886,14889
LP-444-2016-00542,444,83535,1359
LP-444-2016-00543,444,82221,676
LP-444-2016-00545,444,12164,50168
LP-092-2015-00749,092,57698,3871
LP-106-2015-00775,106,5734,19361
LP-444-2016-00388,444,78267,7913
LP-106-2015-00772,106,79774,63303
LP-444-2016-00381,444,16508,3315
LP-106-2015-00779,106,10554,2197
LP-444-2016-00385,444,9841,2312
LP-186-2016-00798,186,85740,2930
LP-092-2015-00566,092,55828,85416
LP-092-2015-00567,092,59207,81883
LP-092-2015-00564,092,65582,82090
LP-092-2015-00565,092,63781,77064
LP-092-2016-02705,092,60097,83611
